player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,salary
Malik Beasley,LAL,26,193.04,84.821704,Florida State,USA,2,81,12.7,3.5,1.5,-2.2,0.016,0.116,0.207,0.531,0.086,2022-23,15.558035
Malcolm Hill,CHI,27,198.12,99.79024,Illinois,USA,5,5,1,0.6,0,39.1,0,0.214,0.167,0.625,0,2022-23,0.508891
Malcolm Brogdon,BOS,30,193.04,103.872568,Virginia,USA,3,67,14.9,4.2,3.7,5.1,0.024,0.132,0.223,0.615,0.223,2022-23,22.6
LaMelo Ball,CHA,21,200.66,81.64656,,USA,1,36,23.3,6.4,8.4,-4.7,0.031,0.147,0.289,0.541,0.352,2022-23,8.62392
Lamar Stevens,CLE,25,198.12,104.32616,Penn State,USA,5,62,5.3,3.3,0.5,1.2,0.046,0.145,0.136,0.524,0.04,2022-23,1.782621
Landry Shamet,PHX,26,193.04,86.18248,Wichita State,USA,2,40,8.7,1.7,2.3,2.2,0.013,0.07,0.186,0.537,0.167,2022-23,9.5
Larry Nance Jr.,NOP,30,203.2,111.13004,Wyoming,USA,2,65,6.8,5.4,1.8,6.7,0.081,0.184,0.118,0.649,0.117,2022-23,9.672727
Lauri Markkanen,UTA,26,213.36,108.86208,Arizona,Finland,1,66,25.6,8.6,1.9,3.8,0.055,0.183,0.259,0.641,0.086,2022-23,16.475454
LeBron James,LAL,38,205.74,113.398,,USA,1,55,28.9,8.3,6.8,4.6,0.033,0.191,0.322,0.583,0.308,2022-23,44.474988
Leandro Bolmaro,UTA,22,198.12,90.7184,,Argentina,2,14,0.4,0.5,0.5,0.7,0.051,0.04,0.155,0.15,0.121,2022-23,1.7093
Lindy Waters III,OKC,25,198.12,95.25432,Oklahoma State,USA,5,41,5.2,1.8,0.7,10.5,0.028,0.103,0.148,0.573,0.071,2022-23,2.3168759999999997
Julian Champagnie,SAS,22,200.66,98.429464,St. John's,USA,5,17,9.7,3.5,0.6,-10.6,0.027,0.147,0.181,0.6,0.043,2022-23,0.508891
Luguentz Dort,OKC,24,193.04,99.79024,Arizona State,Canada,5,74,13.7,4.6,2.1,0.9,0.053,0.092,0.194,0.513,0.09,2022-23,15.277778000000001
Luka Doncic,DAL,24,200.66,104.32616,,Slovenia,1,66,32.4,8.6,8,2.1,0.024,0.224,0.368,0.609,0.408,2022-23,37.0965
Luka Garza,MIN,24,208.28,110.222856,Iowa,USA,4,28,6.5,2.3,0.6,2,0.13,0.128,0.245,0.652,0.103,2022-23,0.508891
Luka Samanic,UTA,23,208.28,102.965384,,Croatia,2,7,9.9,4.3,2.1,-1.7,0,0.161,0.193,0.55,0.115,2022-23,0.5383169999999999
Luke Kennard,MEM,27,195.58,93.439952,Duke,USA,1,59,9.3,2.7,1.5,7.3,0.012,0.104,0.144,0.684,0.091,2022-23,13.745455000000002
Luke Kornet,BOS,27,218.44,113.398,Vanderbilt,USA,5,69,3.8,2.9,0.8,3.9,0.106,0.125,0.111,0.697,0.093,2022-23,2.133278
Malachi Flynn,TOR,25,185.42,79.3786,San Diego State,USA,3,53,4.6,1.4,1.3,-3.5,0.019,0.097,0.168,0.479,0.145,2022-23,2.14572
Malaki Branham,SAS,20,193.04,81.64656,Ohio State,USA,2,66,10.2,2.7,1.9,-11.1,0.017,0.098,0.188,0.524,0.112,2022-23,2.9256
Juan Toscano-Anderson,UTA,30,198.12,94.800728,Marquette,USA,5,52,3,2.4,1.3,-9.9,0.037,0.128,0.109,0.505,0.122,2022-23,2.133278
Jrue Holiday,MIL,33,195.58,92.98636,UCLA,USA,2,67,19.3,5.1,7.4,9.2,0.035,0.107,0.244,0.586,0.321,2022-23,34.31952
Jalen McDaniels,PHI,25,205.74,92.98636,San Diego State,USA,4,80,9.4,4.3,1.6,-3.4,0.031,0.145,0.165,0.557,0.094,2022-23,1.9306809999999999
Jalen Smith,IND,23,205.74,97.52228,Maryland,USA,1,68,9.4,5.8,1,-3.8,0.093,0.201,0.201,0.565,0.076,2022-23,4.67016
Jalen Suggs,ORL,22,195.58,92.98636,Gonzaga,USA,1,53,9.9,3,2.9,-1.3,0.044,0.083,0.196,0.528,0.179,2022-23,6.922320000000001
Jalen Williams,OKC,22,195.58,95.707912,Santa Clara,USA,1,75,14.1,4.5,3.3,-1,0.035,0.109,0.18,0.601,0.152,2022-23,4.34148
Jamal Cain,MIA,24,198.12,86.636072,Oakland,USA,5,18,5.4,2.9,0.7,5.5,0.064,0.142,0.139,0.647,0.076,2022-23,0.508891
